0x00000001	ERROR_INVALID_FUNCTION
0x0000007B	Error_Invalid_Name	The filename, directory name,or volume label syntax is incorrect
0x00000275	Error_cant_enable_Deny_only	A group marked use for deny only can not be enabled
0x0000041D	ERROR_SERVICE_REQUEST_TIMEOUT	The service did not respond to the start or control request in a timely fashion.
0x000004C3	Error_Session_Credential_Conflict	Multiple connections to a server or shared resource by the same user,using more than one user name, are not allowed.
0x000004C5	Error_Dup_Domainename	The workgroup or domain name is already in use by another computer on the network.
0x00000619	error_Invalid_HW_Profile	The specified hardware profile configuration is invalid
0x00000641	Error_Install_Service_failure	The Windows Installer Service could not be accessed. This can occur if you are running Windows in safe mode, or if the Windows Installer is not correctly installed.
0x00000643	ERROR_INSTALL_FAILURE	Fatal error during installation
0x00000652	ERROR_INSTALL_ALREADY_RUNNING	Another installation is already in progress. Complete that installation before proceeding with this install.
0x000006D9	EPT_S_Not_Registered	There are no more endpoints available from the endpoint mapper.
0x000006F6	RPC_X_BYTE_Count_TOO_Small	The byte count is too small
0x00000963	NERR_BADPasswordCore	This share name or password is invalid
0x00000BC2	Error_Success_Reboot_Required
0x00001112	Error_No_Media_In_Drive	No media in drive
0x00001190	Error_Shutdown_IS_Scheduled	A system shutdown has already been scheduled
0x00001234	Error_Port_Unreachable	No Service is operating at the destination network endpoint on the remote system
0x00001396	Error_Wrong_Target_Name	Logon failure: The target account name is incorrect.
0x000013D7	Error_Cluster_restype_Note_Supported	The specified node does not support a resource of this type. This amy be due to version inconsistancies or due to the absence of the resource DLL on this node.
0x00001449	Error_Invalid_Showwin_Command	Cannot show or remove the window in the way specified
0x00240001	WU_S_SERVICE_STOP	Service stopped
0x00240002	WU_S_SELFUPDATE	Agent selfupdates
0x00240003	WU_S_UPDATE_ERROR	Overall operation completed but error occurred while processing one or more specified updates.
0x00240004	WU_S_MARKED_FOR_DISCONNECT	The caller attempted to disconnect an operation but the operation is busy calling back so the callback is marked for disconnect later
0x00240005	WU_S_REBOOT_REQUIRED	The system needs to be rebooted to complete installation.
0x00240006	SUS_S_ALREADY_INSTALLED	The update to be installed is already installed
0x00240007	WU_S_ALREADY_UNINSTALLED	The update to be uninstalled is already not installed.
0x00240008	WU_S_ALREADY_DOWNLOADED	The update to be downloaded is already downloaded
0x80000007	E_ABORT
0x80004001	E_NOTIMPL
0x80004002	E_Nointerface
0x80004003	E_Pointer	Invalid pointer
0x80004004	E_ABORT	Operation Aborted
0x80004005	E_Fail
0x80004015	CO_E_WRONG_SERVER_IDENTITY	The security descriptor on the BITS service was changed by a security template such that NetworkService account doesn’t have READ access to BITS service.
0x8000FFFF	E_UNEXPECTED
0x80010100	RPC_E_SYS_CALL_FAILED
0x80010105	RPC_E_Serverfault
0x80010108	RPC_E_Disconnected
0x80040154	REGDB_E_CLASSNOTREG	BITS in Windows 2000 is dependent on SENS and EventSystem services. If COM+ catalog is corrupted, one of these errors was seen.
0x800401F3	CO_E_Classstring
0x800401FD	CO_E_Objnotconnected	Object is not connected to server
0x80040206	EVENT_E_INTERNALERROR	There will be event messages in Application/System log regarding the errors.
0x80070001	ERROR_INVALID_FUNCTION
0x80070002	ERROR_FILE_NOT_FOUND	The System cannot find the file specified
0x80070003	COR_E_DIRECTORYNOTFOUND	The specified path couldn't be found - ALLUSERSPROFILE Microsoft network dir doesn’t exist
0x80070005	ERROR_ACCESS_DENIED	The authentication method is not supported. - CoCreateInstance(IBackgroundCopyManager) fails with E_ACCESSDENIED (0x80070005) in this condition
0x80070006	E_Handle	Handle not valid error
0x80070008	ERROR_NOT_ENOUGH_MEMORY	The system is out of memory.
0x8007000B	COR_E_BADIMAGEFORMAT	The format of the DLL or executable being loaded is invalid
0x8007000D	Error_invalid_data
0x8007000E	E_OUTOFMEMORY
0x80070017	ERROR_CRC	Data error (cyclic redundancy check).
0x8007001F	ERROR_GEN_FAILURE	A device attached to the system is not functioning
0x80070020	STIERR_SHARING_VIOLATION	The process cannot access the file because it is being used by another process
0x80070032	ERROR_NOT_SUPPORTED
0x80070050	ERROR_FILE_EXISTS
0x80070052	ERROR_CANNOT_MAKE	The directory or file cannot be created
0x80070057	ERROR_INVALID_PARAMENTER - E_INVALIDARG	One or more arguments are not valid error - Invalid proxy server name was specified in the user’s IE settings and hence WinhttpSetProxySettings call fails with E_INVALIDARG error. BITS puts the job in TRANSIENT_ERROR with the same error code. For ex, if the proxy server is set to http://foo/bar/proxy.pac, this error will be seen. This error is also seen when credentials are supplied such that scheme is not NTLM/Negotiate, but username/password is NULL, since that is not valid (WinhttpSetCredentials fails with E_INVALIDARG. BITS 1.5 puts the job into ERROR state with BG_E_INVALID_RESPONSE in the above 2 cases, because of error code mapping E_INVALIDARG is always mapped to (BG_E_INVALID_SERVER_RESPONSE)
0x80070070	ERROR_DISK_FULL	There is not enough space on the disk
0x8007007A	ERROR_INSUFFICIENT_BUFFER
0x8007007B	STIERR_INVALID_DEVICE_NAME
0x8007007E	ERROR_MOD_NOT_FOUND	The specified module could not be found.
0x8007007F	ERROR_PROC_NOT_FOUND	The specified procedure could not be found.
0x80070080	ERROR_WAIT_NO_CHILDREN	There are no child processes to wait for
0x800700A1	ERROR_BAD_PATHNAME
0x800700B6	ERROR_INVALID_ORDINAL
0x800700C1	ERROR_BAD_EXE_FORMAT	is not a valid Win32 application
0x800700E7	Error_Pipe_Busy	All pipe instances are busy
0x80070103	ERROR_NO_MORE_ITEMS:
0x8007010B	ERROR_DIRECTORY	The directory name is invalid
0x8007012E	Error_Disk_Too_Fragmented
0x800701E7	Error_Invalid_Address
0x800703e3	Error_Operation_Aborted	The I/O operation has been aborted because of either a thread exit or an application request
0x800703e5	ERROR_IO_PENDING
0x800703E6	Error_Noaccess  to memory location	Invalid access to memory location
0x800703E7	Error_Swaperror	Error performing inpage operation
0x800703EB	Error_Can_Not_Complete	Cannot complete this function
0x800703Ed	ERROR_UNRECOGNIZED_VOLUME	The volume does not contain a recognized file system
0x800703F0	ERROR_NO_TOKEN	An attempt was made to reference a token that does not exist
0x8007041D	ERROR_SERVICE_REQUEST_TIMEOUT	The service did not respond to the start or control request in a timely fashion
0x8007041E	Error_Service_No_Thread	A thread could not be created for this service
0x8007041F	ERROR_SERVICE_DATABASE_LOCKED	The service database is locked
0x80070422	ERROR_SERVICE_DISABLED	The service cannot be started. If BITS service is disabled by the Administrator, then this error will be seen.
0x80070424	ERROR_SERVICE_DOES_NOT_EXIST	Due to a bug in BITS 1.5 OOB setup, after BITS 1.5 install, the BITS service is deleted, but the 1.5 install returns success code. BITS 1.5 binaries are copied to the machine, but the service doesn’t exist. This can also happen if the BITS service is explicitly deleted by running the command sc delete bits
0x80070426	ERROR_SERVICE_NOT_ACTIVE	The service has not been started
0x8007042B	ERROR_PROCESS_ABORTED
0x8007042C	Error_Service_Dependency_Fail
0x80070433	ERROR_SERVICE_DEPENDENCY_DELETED	BITS service has a dependency on lanmanworkstation service in BITS 1.0 and 1.2. If “Client for Microsoft networks” network component is uninstalled, then lanmanworkstation service is deleted, but BITS dependency will still be present. After that, BITS service fails to start
0x80070437	Error_Different_Service_Account
0x8007043B	ERROR_SERVICE_NOT_IN_EXE	The executable program that this service is configured to run does not implement the service. netsvcs registry value in HKLM\Software\Microsoft\WindowsNT\CurrentVersion\Svchost registry key should contain the service names that can be run in that service host. On XP and Windows 2003, BITS should be in this value. If “BITS” is missing from that value, then ERROR_SERVICE_NOT_IN_EXE error is seen when attempting to start the service
0x8007045A	ERROR_DLL_INIT_FAILED
0x8007045B	ERROR_SHUTDOWN_IN_PROGRESS
0x80070490	E_PROP_ID_UNSUPPORTED	Permission denied / [Problem initializing or using session variables] or Element not found
0x800704C7	ERROR_CANCELLED	Cancelled by user
0x800704DD	Error_Not_Logged_On to network
0x80070502	Error_Stack_Buffer_Overrun	The system detected an overrun of a stack-based buffer in this application
0x80070570	ERROR_FILE_CORRUPT
0x8007057F	Error_Cannot_Find_WND_Class	Cannot find windows class
0x8007058D	Error_Control_ID_Not_Found
0x800705AA	ERROR_NO_SYSTEM_RESOURCE	Insufficient system resources exist to complete the requested service
0x800705AD	Error_Working_Set_Quota	Insufficient quota to complete the requested service
0x800705AF	ERROR_COMMITMENT_LIMIT	The paging file is too small for this operation to complete
0x800705B4	Error_Timeout
0x80070643	ERROR_INSTALL_FAILURE
0x80070652	ERROR_INSTALL_ALREADY_RUNNING ErrorClientUpdateInProgress
0x8007066A	Error_Patch_Target_Not_Found	The program to be upgraded may be missing or the patch may upgrade a different version of the program
0x800706A6	RPC_S_Invalid_Binding	Terminal Services optional component is installed on the machine, but the “Terminal Services” service has been disabled.
0x800706B5	RPC_S_Unknown_IF	Eventlog service is not running. BITS tries to initialize the event logger object during initialization and fails to start, if the initialization fails. If event log service is not running, then the initialization fails with RPC_S_UNKNOWN_IF error
0x800706BA	RPC_S_SERVER_UNAVAILABLE
0x800706BB	RPC_S_SERVER_TOO_BUSY	The RPC server is too busy to complete this operation
0x800706BE	RPC_S_CALL_FAILED
0x800706BF	PRC_S_Call_Failed_DNE
0x800706C6	RPC_S_Invalid_Bound	The array bounds are invalid
0x800706F7	RPC_X_Bad_Stub_Data	This can occur after a control selfupdate that has not fully completed and requires a reboot. The controls may need to be reregistered.
0x80070704	Error_Unknown_Port
0x80070BC2	ErrorControlRebootRequired
0x8007276b	WSASYSNOTREADY	The description of WSASYSNOTREADY says WSAStartup cannot function at this time because the underlying system it uses to provide network services is currently unavailable. It seems that something is wrong with networking components on the system.
0x8007277B	WSASYSCALLFAILURE	A system call that should never fail has failed
0x80072AF9	WSAHOST_NOT_FOUND
0x80072AFC	WSANO_DATA
0x80072EE2	ERROR_INTERNET_TIMEOUT	The request has timed out.
0x80072EE4	ERROR_INTERNET_INTERNAL_ERROR	An internal error has occurred.
0x80072EE5	Error_Internet_Invalid_URL
0x80072EE6	ERROR_INTERNET_UNRECOGNIZED_SCHEME	The URL scheme could not be recognized or is not supported.
0x80072EE7	ERROR_INTERNET_NAME_NOT_RESOLVED	The server name could not be resolved.
0x80072EEF	ERROR_INTERNET_LOGIN_FAILURE
0x80072EF1	ERROR_INTERNET_OPERATION_CANCELLED
0x80072EF2	Error_Internet_Incorrect_handle_type
0x80072EF3	Error_Internet_Incorrect_Handle_State
0x80072EFD	ERROR_INTERNET_CANNOT_CONNECT	The attempt to connect to the server failed.
0x80072EFE	ERROR_INTERNET_CONNECTION_ABORTED	The connection with the server has been terminated.
0x80072F0C	Error_Internet_Client_Auth_Cert_Needed
0x80072F0D	ERROR_INTERNET_INVALID_CA
0x80072F76	ERROR_HTTP_HEADER_NOT_FOUND	The requested header could not be located
0x80072F78	ERROR_HTTP_INVALID_SERVER_RESPONSE	The server response could not be parsed.
0x80072F7c	ERROR_HTTP_REDIRECT_FAILED
0x80072F83	ERROR_INTERNET_DISCONNECTED
0x80072F8c	ERROR_INTERNET_NOT_INITIALIZED
0x80072F8F	ERROR_INTERNET_SECURE_FAILURE   ErrorClockWrong	One or more errors were found in the Secure Sockets Layer (SSL) certificate sent by the server.
0x800736B1	Error_SXS_Cant_gen_Actctx	This application has failed to start because the application configuration is incorrect.
0x8007F001	STATUS_FAILED_LANGUAGE_TYPE	Setup cannot update your  files because the language\installed on your system is different from the update language.
0x8007F002	STATUS_CHECKED_FREE_MISMATCH	Setup cannot update a checked (debug) system with a free (retail) version of , or vice versa.
0x8007F003	STATUS_NOT_ENOUGH_SPACE	There is not enough disk space on to install . Setup requires a minimum of d additional megabytes of free space or if you also want to archive the files for uninstall, Setup requires d additional megabytes of free space. Free additional sp
0x8007F004	STATUS_INSUFFICIENT_PRIVS	You do not have permission to update . Please contact your system administrator.
0x8007F007	STATUS_CANT_FIND_INF	Setup could not find the update.inf file needed to update your system.
0x8007F008	STATUS_UPDATE_SUCCESSFUL	has been updated. Remove any disks from the floppy disk drives and choose OK to restart your computer. If you change or add any components to your system, you will need to reapply the Hotfix.
0x8007F009	STATUS_UPDATE_UNSUCCESSFUL	installation did not complete.
0x8007F00a	STATUS_SHUTDOWN_UNSUCCESSFUL	Setup was unable to shutdown system. Please shutdown your system manually.
0x8007F00B	STATUS_FILE_NOT_FOUND_IN_SETUP_LOG	Could not locate entry for HAL.DLL in SETUP.LOG to determine type of HAL to update.
0x8007F00C	STATUS_INVALID_INF_FILE	The file is not correct.
0x8007F00d	STATUS_USER_CANCELLED	Setup canceled.
0x8007F00E	STATUS_PLATFORM_MISMATCH	This  is for a different hardware platform.
0x8007F00f	STR_CAPTION	Setup
0x8007F010	STR_WARNCAPTION	Setup Warning
0x8007F011	STR_ERRCAPTION	Setup Error
0x8007F012	STR_FAILED_TO_DELETE_OR_RENAME	The file  is open or in use by another application. Close all other applications and then click Retry.
0x8007F013	STR_FAILED_TO_SAVE_REGISTRY	Setup could not backup registry key  to file
0x8007F014	STR_FAILED_TO_READ_REGISTRY	Setup could not backup registry value
0x8007F015	STR_ASK_DIRTY_UNINSTALL	Select ''OK'' to undo the changes that have been made, or select ''Cancel'' to quit. If you select ''Cancel'', your system will be left in a partially updated state and may not work correctly.
0x8007F016	STR_LEAVING_DIRTY	has been partially updated and may not work properly.
0x8007F017	STR_ARE_YOU_SURE_CANCEL	Are you sure you want to cancel?
0x8007F018	STR_SOURCE_MEDIA_NAME_UNINSTALL	Uninstall Directory
0x8007F019	STR_SOURCE_MEDIA_NAME	Uninstall Directory
0x8007F01a	STR_SOURCE_MEDIA_NAME_SYSTEM	System Files
0x8007F01b	STR_INST_HOTFIX	Setup found hotfixes on your system. Would you like to install these hotfixes now?
0x8007F01c	STR_UNINST_ALREADY_CREATED	You have already created an Uninstall directory. Doing this again will overwrite your current uninstall directory. Are you sure you want to do this?
0x8007F01d	STR_OEM_FILE	Your computer vendor installed this file on your computer. Do you want  Setup to replace this file?
0x8007F01e	STR_CATALOG_INSTALL_FAILED	Failed to install catalog files.
0x8007F01f	STR_ADD_REGISTRY_FAILED	Failed to add registry entry.
0x8007f020	STATUS_BUILD_VERSION_MISMATCH	Setup has detected that the build version of the system installed does not match the update you are applying to it. You can only install this update only on Build %d .
0x8007f021	STATUS_SP_VERSION_GREATER	The version of Windows you have installed does not match the update you are trying to install.
0x8007f022	STATUS_CANT_SPAWN_HOTFIX	Setup could not start the hotfix installation program.
0x8007f023	STATUS_CANT_FIND_TAG	Setup could not locate the  files.
0x8007f024	STATUS_OVERWRITE_UNINSTALL	WARNING: You have chosen to overwrite your existing uninstall:  If you continue, you will only be able to uninstall to the following Service Pack version:  Are you sure you want to continue? Click Yes to continue creating the
0x8007f026	STATUS_WININET_LOAD_FAILED	This Web-based update requires Internet Explorer 3.0 or later. For instructions on how to download a version of this update that does not require a Web connection during installation, download and install  from http://www.Microsoft.com/Downloads
0x8007f027	STATUS_CANT_INSTALL_SP_ON_DTC	This  has not been qualified by your hardware vendor for installation on this copy of  Datacenter Server. Please contact your hardware vendor for additional information on obtaining a  that has been qualified for your system configuration.
0x8007f028	STATUS_NECESSARY_FILES_NOT_PRESENT	Not all files necessary to perform an integrated installation are present.
0x8007f029	STATUS_SPOOLER_NOT_STARTED	Cannot install . The Print Spooler service is not started.
0x8007f02a	STATUS_MUST_RESTART_FIRST	The system must be restarted before installing the , to allow some prior file update operations to complete. (These operations were previously scheduled by some other install or uninstall operation.)
0x8007f02b	STATUS_NOT_ENOUGH_WITH_UNINST	You do not have enough free disk space on % to archive the uninstall files. To install  with backup files for uninstall, an additional dMB is required.
0x8007f02c	STATUS_CANT_FIND_RSAENHS	Unable to locate RSAENHS.DLL in the update directory, high encryption for uninstall aborted.
0x8007f02d	STATUS_CANT_FIND_ENCININF	Unable to locate UPDENCIN.INF in the update directory, high encryption for uninstall aborted.
0x8007f02e	STATUS_CANT_FIND_ENCTSINF	Unable to locate UPDENCTS.INF in the update directory, unable to export TS files.
0x8007f02f	STATUS_ENCINST_PROCESS_FAILED	High encryption ENCINST process failed.
0x8007f030	STATUS_ENCINST_UPGRADE_FAILED	High encryption upgrade failed.
0x8007f031	STR_USAGE_UPDATE	AVAILABLE SWITCHES: [/help] [/quiet] [/passive] [/uninstall] [/norestart] [/forcerestart] [/l] [/n] [/o] [/f] [/integrate:<path>] [/d:<path>] /help Displays this message SETUP MODES /quiet Quiet mode (no user interaction or displ
0x8007f032	STR_BUILDING_CAB	Creating file
0x8007f033	STR_DOWNLOADING	Downloading files and patches
0x8007f034	STR_ARCHIVING_FILES	Backing up files
0x8007f035	STR_ARCHIVING_FILE	Backing up files
0x8007f036	STR_INSTALLING_FILES	Installing files
0x8007f037	STR_INSTALLING_FILE	Installing files
0x8007f038	STR_FINISHING_INSTALL	Finishing installation
0x8007f039	STR_WELCOME_LINE	Welcome to the   Setup Wizard
0x8007f03a	STR_RESTART	&Restart
0x8007f03b	STR_COMPLETE	installation is complete. You must restart your computer for the  update to take effect.
0x8007f03d	STR_CANT_CANCEL_NOW	Please wait while  Setup updates your system files.
0x8007f03e	STR_MUST_ACCEPT_TIP	Must accept license agreement before installing
0x8007f03f	STR_NEED_TO_CONNECT	Setup needs to connect to the internet now to download  files and patches for installation.
0x8007f040	STR_READY_TO_REPLACE	Setup is ready to begin replacing system files.
0x8007f041	STR_CONNECTING	Connecting to
0x8007f042	STR_CONNECTED	Connected to
0x8007f043	STR_ESTIMATE	estimate
0x8007f044	STR_MINUTES	minutes
0x8007f045	STR_SECONDS	seconds
0x8007f046	STR_DOWNLOAD_REMAINING	KB remaining
0x8007f047	STR_DOWNLOAD_COMPLETE	Download complete
0x8007f048	STR_DOWNLOAD_UNPACKING	Download complete, now unpacking files
0x8007f049	STR_DOWNLOAD_FAILURE	The following error occurred while  Setup attempted to download the  files from the Internet:
0x8007f04a	STR_UNKNOWN_ERROR	The server did not respond (error code %d).
0x8007f04b	STR_INTERNET_TIMEOUT	The server did not respond.
0x8007f04c	STR_DOWNLOAD_RETRY_TEXT	If this error persists after you have clicked Retry several times, download and install  from http://www.Microsoft.com/Downloads. This will give you instructions on how to download a version of this update that does not require a Web connection during
0x8007f04d	STR_HASH_FAILURE_1	Setup determined that the following downloaded  file is corrupt:
0x8007f04e	STR_HASH_FAILURE_2	Setup determined that the following downloaded  files are corrupt:
0x8007f04f	STR_DOWNLOAD_GIVE_UP	Setup was unable to download all the  files necessary for installation.
0x8007f050	STR_COPYING_FILE_DELAYED	Copied file (delayed)
0x8007f051	STR_ERROR_COPY_SLIP	An error has occurred copying files from the Service Pack share to the distribution share.
0x8007f052	STR_SLIPSTREAM_SUCCESSFUL	Integrated install has completed successfully.
0x8007f053	STR_SLIPSTREAM_FAILED	Failed to copy some or all of the files necessary for integrated install. Please check that: a) No network or copy errors occurred during the integration process b) The format of the destination directory is correct. The files to be integrated
0x8007f054	STR_SVCPACK_CMD	Service Pack started with following command line
0x8007f055	STR_DOWNLOAD_SIZE	bytes downloaded.
0x8007f056	STR_NO_SVCPACK	No Service Pack
0x8007f057	STR_MISSING_FILE	The file is missing from the  installation. The file must be present for  Setup to continue. Press OK to cancel Setup.
0x8007f058	STR_READY_TO_ENCINST	Setup is ready to begin upgrade of uninstall to high encryption.
0x8007f059	STR_SLIPSTREAM_LANGUAGE_MISMATCH	Integrated install failed. The language type or platform for the destination directory and  must be the same.
0x8007f05a	STATUS_CANT_OPEN_LOG	Error opening  file
0x8007f05b	STR_SKIPPING_FILE	Skipped copying file:
0x8007f05c	STR_COPY_FILE	Copying file
0x8007f05d	STR_SVC_INFO	In order to successfully complete this installation, the following services will automatically be stopped and re-started.
0x8007f05e	STR_SVC_STOP_ERR	Setup was unable to stop the following service
0x8007f05f	STR_SVC_ASKREBOOT	A reboot will probably be required in order to successfully complete this installation. Do you wish to continue?
0x8007f060	STR_SVC_START_ERR	Setup was unable to re-start the following service: .
0x8007f061	ERR_STD_PREFIX	Setup encountered an error:
0x8007f062	STR_COPYING_FILE	Copied file:
0x8007f063	STR_SPAWNING_PROCESS	Starting process:
0x8007f064	STATUS_INVALID_VER_FILE	The update.ver file is not correct.
0x8007f065	STR_DOMESTIC_TAG1	US/Canada Only, Not for Export
0x8007f066	STR_DOMESTIC_TAG2	Domestic Use Only
0x8007f067	STR_DOMESTIC_TAG3	US and Canada Use Only
0x8007f06a	STATUS_SP_VERSION_GREATER_1	Setup has detected that the Service Pack version of the system installed is newer than the update you are applying to it. You can only install this update on Service Pack.
0x8007f06b	STATUS_SP_VERSION_GREATER_2	Setup has detected that the Service Pack version of this system is newer than the update you are applying. There is no need to install this update.
0x8007f06c	STATUS_FPNW_FIXUP_FAILED	Setup failed to access or correctly modify your SETUP.LOG file.
0x8007f06d	STATUS_WRONG_PLATFORM	The version of software you are running does not match the system you are running it on.
0x8007f06e	STATUS_FAILURE_COPYING_FILES	Failed to completely copy all of the updated files.
0x8007f06f	STATUS_FAILED_TO_SET_DIR	Failed to set the directory.
0x8007f070	STATUS_SETUP_ERROR	An error in updating your system has occurred.
0x8007f075	STATUS_SUCCESS_NOREBOOT	has been updated. You must reboot for these changes to take effect. If you change or add any components to your system, you will need to reapply the Hotfix.
0x8007f076	STATUS_SP_VERSION_LESSER	Setup has detected that the version of the Service Pack installed on your system is lower than what is necessary to apply this hotfix. At minimum, you must have Service Pack installed.
0x8007f078	STATUS_NO_UNINSTALL_AVAILABLE	You cannot uninstall, since an uninstall for  has not been created.
0x8007f07a	STATUS_SUCCESS_NOREBOOTNEC	has been updated. If you change or add any components to your system, you will need to reapply the Hotfix.
0x8007f07b	STATUS_UNINST_NOREBOOTNEC	Hotfix successfully uninstalled.
0x8007f07c	STR_SECURITY_PROVIDER_WARNING	The existing file  contains High Encryption security, but the updated Hotfix file  contains only Standard Encryption security. You can choose to replace the High Encryption security file with the updated Standard Encryption security file now.
0x8007f07f	STR_UNINST_HOTFIX	Hotfixes have been found on your system. Would you like to Uninstall these hotfixes now?
0x8007f080	STR_OLD_UNINST_EXISTS	An old Uninstall directory has been found. Would you like to overwrite this directory with new Uninstall information?
0x8007f081	STR_LICENSE_DECLINED	You have chosen to decline the License Agreement. Setup cannot continue.
0x8007f082	STR_NO_LICENSE_TXT	No LICENSE.TXT file was found in your Hotfix directory. Setup cannot continue.
0x8007f083	STR_INSUFF_RESOURCES	Insufficient resources are available. Setup cannot continue.
0x8007f084	STR_FILE_READ_ERROR	Error reading LICENSE.TXT file. Setup cannot continue.
0x8007f085	STR_DELETE_OLD_UNINST	This old uninstall directory cannot be used to uninstall this Hotfix, and should be deleted. Would you like to delete it now?
0x8007f086	STR_HOTFIXES_FOUND	The following hotfixes are installed:
0x8007f087	STR_HOTFIXES_NOT_FOUND	No Hotfixes are installed.
0x8007f088	STR_CAT_VERSIONS_EQUAL	Catalog file versions are equal, although catalog files differ. Install package must be rebuilt. Failed to install catalog file.
0x8007f089	STR_WINDOWS_TYPE1	Windows NT 4.0
0x8007f08a	STR_WINDOWS_TYPE2	Windows 2000
0x8007f08b	STR_LICENSE_AGREEMENT	License Agreement
0x8007f08c	STR_SELECT_OPTIONS	Select Options
0x8007f08d	STR_UPDATING_YOUR_SYSTEM	Updating Your System
0x8007f08e	STR_WIZ1_STATIC3	Before you install this update, we recommend that you: - Update your system repair disk - Back up your system - Close all open programs To complete this installation, Windows might require restarting after you finish this wizard.
0x8007f08f	STR_WIZ2_STATIC1	Please read the following license agreement. To continue with setup, you must accept the agreement.
0x8007f090	STR_WIZ2_RADIO1	I &Do Not Agree
0x8007f091	STR_WIZ2_RADIO2	I &Agree
